City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Zhanaozen,KZ,2022-02-13 14:56:09,43.3,52.8,33.22,65,73,23.22
271,Te Anau,NZ,2022-02-13 14:56:09,-45.4167,167.7167,43.34,95,21,1.41
272,Shellbrook,CA,2022-02-13 14:56:10,53.2168,-106.4011,16.83,88,66,16.11
273,Kieta,PG,2022-02-13 14:57:15,-6.2167,155.6333,78.28,84,96,2.08
274,Huaidian,CN,2022-02-13 14:57:15,33.4333,115.0333,41.95,77,98,6.35
275,Santiago Del Estero,AR,2022-02-13 14:56:30,-27.7951,-64.2615,78.19,25,0,6.78
276,Palmer,US,2022-02-13 14:57:16,42.1584,-72.3287,31.03,73,100,3.44
277,Preobrazheniye,RU,2022-02-13 14:57:16,42.9019,133.9064,15.26,62,1,7.54
278,Cherskiy,RU,2022-02-13 14:57:16,68.75,161.3,-17.3,98,99,8.52
279,Chokurdakh,RU,2022-02-13 14:57:17,70.6333,147.9167,-2.34,96,100,11.52
280,San Policarpo,PH,2022-02-13 14:57:17,12.1791,125.5072,78.64,81,30,14.16
281,Ribeira Grande,PT,2022-02-13 14:57:17,38.5167,-28.7,63.0,55,40,10.36
282,Bontang,ID,2022-02-13 14:57:18,0.1333,117.5,79.43,77,100,4.72
283,Varzob,TJ,2022-02-13 14:57:18,38.7737,68.8178,44.33,74,11,8.99
284,Rehnan,IR,2022-02-13 14:57:18,32.6846,51.6013,49.51,28,0,1.74
285,Cayenne,GF,2022-02-13 14:57:19,4.9333,-52.3333,84.24,81,75,13.8
286,Susangerd,IR,2022-02-13 14:57:19,31.5608,48.1831,73.42,36,0,8.12
287,North Bend,US,2022-02-13 14:57:19,43.4065,-124.2243,41.86,100,75,4.61
288,Luderitz,NA,2022-02-13 14:57:20,-26.6481,15.1594,75.58,65,9,12.5
289,Santiago,CL,2022-02-13 14:53:22,-33.4569,-70.6483,79.29,37,0,5.75
290,Whitehorse,CA,2022-02-13 14:57:20,60.7161,-135.0538,14.77,92,75,2.3
291,Talcahuano,CL,2022-02-13 14:57:20,-36.7167,-73.1167,62.28,82,100,11.5
292,Sal Rei,CV,2022-02-13 14:57:21,16.1833,-22.9167,79.0,50,0,23.02
293,Canavieiras,BR,2022-02-13 14:57:21,-15.675,-38.9472,82.36,80,74,5.99
